,product,uf,volume,year_month,unit,created_at
81,OLEO DIESEL MARITIMO ,RONDONIA,2027.049,2013-01-28,m3,2022-02-22 01:21:55.716025
82,OLEO DIESEL MARITIMO ,ACRE,25.0,2013-01-28,m3,2022-02-22 01:21:55.716025
83,OLEO DIESEL MARITIMO ,AMAZONAS,8964.348,2013-01-28,m3,2022-02-22 01:21:55.716025
84,OLEO DIESEL MARITIMO ,RORAIMA,70.0,2013-01-28,m3,2022-02-22 01:21:55.716025
85,OLEO DIESEL MARITIMO ,PARA,7856.0,2013-01-28,m3,2022-02-22 01:21:55.716025
86,OLEO DIESEL MARITIMO ,AMAPA,100.0,2013-01-28,m3,2022-02-22 01:21:55.716025
87,OLEO DIESEL MARITIMO ,TOCANTINS,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
88,OLEO DIESEL MARITIMO ,MARANHAO,797.0,2013-01-28,m3,2022-02-22 01:21:55.716025
89,OLEO DIESEL MARITIMO ,PIAUI,130.0,2013-01-28,m3,2022-02-22 01:21:55.716025
90,OLEO DIESEL MARITIMO ,CEARA,400.0,2013-01-28,m3,2022-02-22 01:21:55.716025
91,OLEO DIESEL MARITIMO ,RIO GRANDE DO NORTE,9349.0,2013-01-28,m3,2022-02-22 01:21:55.716025
92,OLEO DIESEL MARITIMO ,PARAIBA,141.0,2013-01-28,m3,2022-02-22 01:21:55.716025
93,OLEO DIESEL MARITIMO ,PERNAMBUCO,1068.0,2013-01-28,m3,2022-02-22 01:21:55.716025
94,OLEO DIESEL MARITIMO ,ALAGOAS,83.0,2013-01-28,m3,2022-02-22 01:21:55.716025
95,OLEO DIESEL MARITIMO ,SERGIPE,284.0,2013-01-28,m3,2022-02-22 01:21:55.716025
96,OLEO DIESEL MARITIMO ,BAHIA,2197.058,2013-01-28,m3,2022-02-22 01:21:55.716025
97,OLEO DIESEL MARITIMO ,MINAS GERAIS,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
98,OLEO DIESEL MARITIMO ,ESPIRITO SANTO,4046.941,2013-01-28,m3,2022-02-22 01:21:55.716025
99,OLEO DIESEL MARITIMO ,RIO DE JANEIRO,28093.381,2013-01-28,m3,2022-02-22 01:21:55.716025
100,OLEO DIESEL MARITIMO ,SAO PAULO,2842.04,2013-01-28,m3,2022-02-22 01:21:55.716025
101,OLEO DIESEL MARITIMO ,PARANA,603.9,2013-01-28,m3,2022-02-22 01:21:55.716025
102,OLEO DIESEL MARITIMO ,SANTA CATARINA,4834.0,2013-01-28,m3,2022-02-22 01:21:55.716025
103,OLEO DIESEL MARITIMO ,RIO GRANDE DO SUL,1818.0,2013-01-28,m3,2022-02-22 01:21:55.716025
104,OLEO DIESEL MARITIMO ,MATO GROSSO DO SUL,810.0,2013-01-28,m3,2022-02-22 01:21:55.716025
105,OLEO DIESEL MARITIMO ,MATO GROSSO,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
106,OLEO DIESEL MARITIMO ,GOIAS,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
107,OLEO DIESEL MARITIMO ,DISTRITO FEDERAL,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
108,OLEO DIESEL (OUTROS ) ,RONDONIA,10.0,2013-01-28,m3,2022-02-22 01:21:55.716025
109,OLEO DIESEL (OUTROS ) ,ACRE,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
110,OLEO DIESEL (OUTROS ) ,AMAZONAS,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
111,OLEO DIESEL (OUTROS ) ,RORAIMA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
112,OLEO DIESEL (OUTROS ) ,PARA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
113,OLEO DIESEL (OUTROS ) ,AMAPA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
114,OLEO DIESEL (OUTROS ) ,TOCANTINS,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
115,OLEO DIESEL (OUTROS ) ,MARANHAO,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
116,OLEO DIESEL (OUTROS ) ,PIAUI,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
117,OLEO DIESEL (OUTROS ) ,CEARA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
118,OLEO DIESEL (OUTROS ) ,RIO GRANDE DO NORTE,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
119,OLEO DIESEL (OUTROS ) ,PARAIBA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
120,OLEO DIESEL (OUTROS ) ,PERNAMBUCO,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
121,OLEO DIESEL (OUTROS ) ,ALAGOAS,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
122,OLEO DIESEL (OUTROS ) ,SERGIPE,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
123,OLEO DIESEL (OUTROS ) ,BAHIA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
124,OLEO DIESEL (OUTROS ) ,MINAS GERAIS,2.491,2013-01-28,m3,2022-02-22 01:21:55.716025
125,OLEO DIESEL (OUTROS ) ,ESPIRITO SANTO,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
126,OLEO DIESEL (OUTROS ) ,RIO DE JANEIRO,893.606,2013-01-28,m3,2022-02-22 01:21:55.716025
127,OLEO DIESEL (OUTROS ) ,SAO PAULO,1691.852,2013-01-28,m3,2022-02-22 01:21:55.716025
128,OLEO DIESEL (OUTROS ) ,PARANA,89.777,2013-01-28,m3,2022-02-22 01:21:55.716025
129,OLEO DIESEL (OUTROS ) ,SANTA CATARINA,20.0,2013-01-28,m3,2022-02-22 01:21:55.716025
130,OLEO DIESEL (OUTROS ) ,RIO GRANDE DO SUL,3933.312,2013-01-28,m3,2022-02-22 01:21:55.716025
131,OLEO DIESEL (OUTROS ) ,MATO GROSSO DO SUL,30.0,2013-01-28,m3,2022-02-22 01:21:55.716025
132,OLEO DIESEL (OUTROS ) ,MATO GROSSO,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
133,OLEO DIESEL (OUTROS ) ,GOIAS,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
134,OLEO DIESEL (OUTROS ) ,DISTRITO FEDERAL,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
135,OLEO DIESEL S-10 ,RONDONIA,12517.9,2014-01-28,m3,2022-02-22 01:21:55.716025
136,OLEO DIESEL S-10 ,ACRE,2253.0,2014-01-28,m3,2022-02-22 01:21:55.716025
137,OLEO DIESEL S-10 ,AMAZONAS,7952.262,2014-01-28,m3,2022-02-22 01:21:55.716025
138,OLEO DIESEL S-10 ,RORAIMA,1856.6,2014-01-28,m3,2022-02-22 01:21:55.716025
139,OLEO DIESEL S-10 ,PARA,46813.45,2014-01-28,m3,2022-02-22 01:21:55.716025
140,OLEO DIESEL S-10 ,AMAPA,891.0,2014-01-28,m3,2022-02-22 01:21:55.716025
141,OLEO DIESEL S-10 ,TOCANTINS,15295.6,2014-01-28,m3,2022-02-22 01:21:55.716025
142,OLEO DIESEL S-10 ,MARANHAO,20226.5,2014-01-28,m3,2022-02-22 01:21:55.716025
143,OLEO DIESEL S-10 ,PIAUI,167251.68,2014-01-28,m3,2022-02-22 01:21:55.716025
144,OLEO DIESEL S-10 ,CEARA,61558.161,2014-01-28,m3,2022-02-22 01:21:55.716025
145,OLEO DIESEL S-10 ,RIO GRANDE DO NORTE,8367.0,2014-01-28,m3,2022-02-22 01:21:55.716025
146,OLEO DIESEL S-10 ,PARAIBA,13239.87,2014-01-28,m3,2022-02-22 01:21:55.716025
147,OLEO DIESEL S-10 ,PERNAMBUCO,68334.0,2014-01-28,m3,2022-02-22 01:21:55.716025
148,OLEO DIESEL S-10 ,ALAGOAS,9001.5,2014-01-28,m3,2022-02-22 01:21:55.716025
149,OLEO DIESEL S-10 ,SERGIPE,10641.5,2014-01-28,m3,2022-02-22 01:21:55.716025
150,OLEO DIESEL S-10 ,BAHIA,62844.116,2014-01-28,m3,2022-02-22 01:21:55.716025
151,OLEO DIESEL S-10 ,MINAS GERAIS,122718.383,2014-01-28,m3,2022-02-22 01:21:55.716025
152,OLEO DIESEL S-10 ,ESPIRITO SANTO,19840.35,2014-01-28,m3,2022-02-22 01:21:55.716025
153,OLEO DIESEL S-10 ,RIO DE JANEIRO,96899.815,2014-01-28,m3,2022-02-22 01:21:55.716025
154,OLEO DIESEL S-10 ,SAO PAULO,266790.807,2014-01-28,m3,2022-02-22 01:21:55.716025
155,OLEO DIESEL S-10 ,PARANA,77543.666,2014-01-28,m3,2022-02-22 01:21:55.716025
